2,3,11												
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE
vo_eny_eny_	brogunson_	detect_unconscious_male_02	vo_eny_eny_brogunson_detect_unconscious_male_02	omuk		Brogunson	shocked	sees unconcious person	He was attacked.	3	他被袭击了	1
vo_eny_eny_	brogunson_	detect_unconscious_neutral_01	vo_eny_eny_brogunson_detect_unconscious_neutral_01	omuk	hambo	Brogunson	nervous	sees unconcious person	What are you doing there?	5	你趟那干什么？	1
vo_eny_eny_	brogunson_	detect_unconscious_neutral_02	vo_eny_eny_brogunson_detect_unconscious_neutral_02	omuk	hambo	Brogunson	worried	sees unconcious person	What happened? Speak up!	4	发生了什么？说话！	1
vo_eny_eny_	brogunson_	detect_unconscious_neutral_03	vo_eny_eny_brogunson_detect_unconscious_neutral_03	omuk	hambo	Brogunson	nervous	sees unconcious person	You there! Why are you on the ground?	8	喂，那边的!你怎么躺在地上？	1
vo_eny_eny_	brogunson_	flee_00	vo_eny_eny_brogunson_flee_00	omuk	hambo	Brogunson	panic	player character has been spotted nearby	Stay away! Don't hurt me?!	5	走开！别伤害我！	1
vo_eny_eny_	brogunson_	flee_01	vo_eny_eny_brogunson_flee_01	omuk	hambo	Brogunson	panic	player character has been spotted nearby	Don't let them take me!	5	别让他们把我带走!	1
vo_eny_eny_	brogunson_	flee_02	vo_eny_eny_brogunson_flee_02	omuk	hambo	Brogunson	panic	player character has been spotted nearby	Help! They want to kill me! Help!	7	来人啊！他们要杀我!快救我！	1
vo_eny_eny_	brogunson_	friend_missing_female_00	vo_eny_eny_brogunson_friend_missing_female_00	omuk		Brogunson	annoyed	his partner is missing	Where is she?	3	她去哪儿了?	1
vo_eny_eny_	brogunson_	friend_missing_female_01	vo_eny_eny_brogunson_friend_missing_female_01	omuk		Brogunson	annoyed	his partner is missing	She should be here.	4	她应该在这儿啊	1
vo_eny_eny_	brogunson_	friend_missing_male_00	vo_eny_eny_brogunson_friend_missing_male_00	omuk		Brogunson	annoyed	his partner is missing	Where is he?	3	他去哪儿了?	1
vo_eny_eny_	brogunson_	friend_missing_male_01	vo_eny_eny_brogunson_friend_missing_male_01	omuk		Brogunson	annoyed	his partner is missing	He should be here.	4	他应该在这儿啊	1
vo_eny_eny_	brogunson_	friend_missing_neutral_01	vo_eny_eny_brogunson_friend_missing_neutral_01	omuk	hambo	Brogunson	annoyed	his partner is missing	What is taking so long?	5	怎么这么长时间？	1
vo_eny_eny_	brogunson_	friend_missing_neutral_02	vo_eny_eny_brogunson_friend_missing_neutral_02	omuk	hambo	Brogunson	annoyed	his partner is missing	It's past time …	4	都已经这个时候了……	1
vo_eny_eny_	brogunson_	friend_wakeup_00	vo_eny_eny_brogunson_friend_wakeup_00	omuk	hambo	Brogunson	annoyed	wakes unconcious person	Wake up, come on!	4	喂，醒醒！	1
vo_eny_eny_	brogunson_	friend_wakeup_01	vo_eny_eny_brogunson_friend_wakeup_01	omuk	hambo	Brogunson	annoyed	wakes unconcious person	Stop loafing around!	3	别偷懒！	1
vo_eny_eny_	brogunson_	friend_wakeup_02	vo_eny_eny_brogunson_friend_wakeup_02	omuk	hambo	Brogunson	annoyed	wakes unconcious person	Stand up and get to work!	6	站起来，干活去！	1
vo_eny_eny_	brogunson_	hear_noise_00	vo_eny_eny_brogunson_hear_noise_00	omuk	hambo	Brogunson	startled	hears strange noise	Huh?	1	啊？	1
vo_eny_eny_	brogunson_	hear_noise_01	vo_eny_eny_brogunson_hear_noise_01	omuk	hambo	Brogunson	startled	hears strange noise	What was that?	3	啊？什么？那是什么？	1
vo_eny_eny_	brogunson_	hear_noise_02	vo_eny_eny_brogunson_hear_noise_02	omuk	hambo	Brogunson	puzzled	hears strange noise	Strange sound …	3	奇怪的声音……	1
vo_eny_eny_	brogunson_	hear_noise_directhit_00	vo_eny_eny_brogunson_hear_noise_directhit_00	omuk		Brogunson	puzzled	is hit by stone	Argh! … what hit me?	5	啊……什么打我身上？	1
vo_eny_eny_	brogunson_	hear_noise_directhit_01	vo_eny_eny_brogunson_hear_noise_directhit_01	omuk		Brogunson	angry	is hit by stone	Agh! … stop it!	4	啊！别闹!	1
vo_eny_eny_	brogunson_	hear_noise_directhit_02	vo_eny_eny_brogunson_hear_noise_directhit_02	omuk		Brogunson	angry	is hit by stone	Aaargh!	1	呜哇！	1
vo_eny_eny_	brogunson_	hear_noise_gunshot_00	vo_eny_eny_brogunson_hear_noise_gunshot_00	omuk		Brogunson	shocked	hears player gunshot	There's a fight! Help!	4	有枪声！救命！	1
vo_eny_eny_	brogunson_	hear_noise_gunshot_01	vo_eny_eny_brogunson_hear_noise_gunshot_01	omuk		Brogunson	shocked	hears player gunshot	Shield me from their fire!	5	有人开枪，快保护我！	1
vo_eny_eny_	brogunson_	hear_noise_human_00	vo_eny_eny_brogunson_hear_noise_human_00	omuk	hambo	Brogunson	tense	hears human noise	Is someone there?	3	谁在那儿？	1
vo_eny_eny_	brogunson_	hear_noise_human_01	vo_eny_eny_brogunson_hear_noise_human_01	omuk	hambo	Brogunson	afraid	hears human noise	Come out!	2	出来！	1
vo_eny_eny_	brogunson_	hear_noise_human_02	vo_eny_eny_brogunson_hear_noise_human_02	omuk	hambo	Brogunson	afraid	hears human noise	Stop hiding!	2	不要藏了！	1
vo_eny_eny_	brogunson_	hear_noise_too_much_00	vo_eny_eny_brogunson_hear_noise_too_much_00	omuk	hambo	Brogunson	annoyed	irritated by a continuous string of strange noises	Stop this at once!	4	给我马上停止！	1
vo_eny_eny_	brogunson_	hear_noise_too_much_01	vo_eny_eny_brogunson_hear_noise_too_much_01	omuk	hambo	Brogunson	anxious	irritated by a continuous string of strange noises	Do you know who my father is?	7	你知道我父亲是谁吗?	1
vo_eny_eny_	brogunson_	hear_noise_too_much_02	vo_eny_eny_brogunson_hear_noise_too_much_02	omuk	hambo	Brogunson	annoyed	irritated by a continuous string of strange noises	My guards will break you!	5	我要让守卫砍了你！	1
vo_eny_eny_	brogunson_	knockout_scream_00	vo_eny_eny_brogunson_knockout_scream_00	omuk	hambo	Brogunson	pain	(sound) gets knocked out		0		0
vo_eny_eny_	brogunson_	knockout_scream_01	vo_eny_eny_brogunson_knockout_scream_01	omuk	hambo	Brogunson	pain	(sound) gets knocked out		0		0
vo_eny_eny_	brogunson_	knockout_scream_02	vo_eny_eny_brogunson_knockout_scream_02	omuk	hambo	Brogunson	pain	(sound) gets knocked out		0		0
vo_eny_eny_	brogunson_	regain_consciousness_00	vo_eny_eny_brogunson_regain_consciousness_00	omuk	hambo	Brogunson	headache	knocked out, wakes up	Ugh, my head.	3	啊，我的头	1
vo_eny_eny_	brogunson_	regain_consciousness_01	vo_eny_eny_brogunson_regain_consciousness_01	omuk	hambo	Brogunson	headache	knocked out, wakes up	Ooh, that hurt.	3	哦，好痛啊	1
vo_eny_eny_	brogunson_	regain_consciousness_02	vo_eny_eny_brogunson_regain_consciousness_02	omuk	hambo	Brogunson	afraid	knocked out, wakes up	W-what attacked me?	3	发生了什么？	1
vo_eny_eny_	brogunson_	see_something_00	vo_eny_eny_brogunson_see_something_00	omuk	hambo	Brogunson	curious	sees something strange	What?	1	什么？	1
vo_eny_eny_	brogunson_	see_something_01	vo_eny_eny_brogunson_see_something_01	omuk	hambo	Brogunson	curious	sees something strange	Huh?	1	啊？	1
vo_eny_eny_	brogunson_	see_something_02	vo_eny_eny_brogunson_see_something_02	omuk	hambo	Brogunson	curious	sees something strange	Something …	2	有东西……	1
												
									WORDCOUNT EN:	197		56
