PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN	CEN	DE	CDE	EN - Proofread	Changed?	Simplified Chinese	
vo_ply_ply_	nin_	char_select_	tense_07	vo_ply_ply_nin_char_select_tense_07				omuk	philipp	sel character	Ninja	tense		No use waiting.	3		0	No use waiting.		干等没有用	
vo_ply_ply_	nin_	char_select_	tense_08	vo_ply_ply_nin_char_select_tense_08				omuk	philipp	sel character	Ninja	tense		Come on.	2		0	Come on.		快行动	
vo_ply_ply_	nin_	char_select_	tense_09	vo_ply_ply_nin_char_select_tense_09				omuk	philipp	sel character	Ninja	tense		Why are we waiting?	4		0	Why are we waiting?		还在等什么？	
vo_ply_ply_	nin_	char_select_	tense_10	vo_ply_ply_nin_char_select_tense_10				omuk	philipp	sel character	Ninja	tense		We're wasting time …	4		0	We're wasting time…	YES	这是浪费时间	
vo_ply_ply_	nin_	char_select_	tense_11	vo_ply_ply_nin_char_select_tense_11				omuk	philipp	sel character	Ninja	tense		Close call …	3		0	Close call…	YES	刚才好险	
vo_ply_ply_	nin_	char_select_	dark_00	vo_ply_ply_nin_char_select_dark_00				omuk	philipp	sel character	Ninja	quiet anger		Hrm?	1		0	Argh…	YES	嗯…	
vo_ply_ply_	nin_	char_select_	dark_01	vo_ply_ply_nin_char_select_dark_01				omuk	philipp	sel character	Ninja	quiet anger		Yeah?	1		0	Yeah?		怎么？	
vo_ply_ply_	nin_	char_select_	dark_02	vo_ply_ply_nin_char_select_dark_02				omuk	philipp	sel character	Ninja	quiet anger		Uhuh?	1		0	Ungh…	YES	喝…	
vo_ply_ply_	nin_	char_select_	dark_03	vo_ply_ply_nin_char_select_dark_03				omuk	philipp	sel character	Ninja	quiet anger		I'll get him for this.	5		0	I'll get him for this.		还治其人之身	
vo_ply_ply_	nin_	char_select_	dark_04	vo_ply_ply_nin_char_select_dark_04				omuk	philipp	sel character	Ninja	quiet anger		I know how this ends.	5		0	I know how this ends.		结局只有一种	
vo_ply_ply_	nin_	char_select_	dark_05	vo_ply_ply_nin_char_select_dark_05				omuk	philipp	sel character	Ninja	quiet anger		They'll pay.	2		0	They'll pay.		血债血偿	
vo_ply_ply_	nin_	char_select_	dark_06	vo_ply_ply_nin_char_select_dark_06				omuk	philipp	sel character	Ninja	quiet anger		Yes.	1		0	Yes?	YES	啊？	
vo_ply_ply_	nin_	char_select_	dark_07	vo_ply_ply_nin_char_select_dark_07				omuk	philipp	sel character	Ninja	quiet anger		It's the only way.	4		0	It's the only way.		别无他法	
vo_ply_ply_	nin_	char_select_	dark_08	vo_ply_ply_nin_char_select_dark_08				omuk	philipp	sel character	Ninja	quiet anger		What?	1		0	What?		什么？	
vo_ply_ply_	nin_	char_select_	dark_09	vo_ply_ply_nin_char_select_dark_09				omuk	philipp	sel character	Ninja	quiet anger		Come on …	3		0	Come on…	YES	来吧…	
vo_ply_ply_	nin_	char_select_	cold_00	vo_ply_ply_nin_char_select_cold_00				omuk	philipp	sel character	Ninja	cold		Hrm, freezing.	2		0	Ugh, freezing…	YES	呃，好冷…	
vo_ply_ply_	nin_	char_select_	cold_01	vo_ply_ply_nin_char_select_cold_01				omuk	philipp	sel character	Ninja	cold		Damn snow …	3		0	Damn snow…	YES	该死的雪	
vo_ply_ply_	nin_	char_select_	cold_02	vo_ply_ply_nin_char_select_cold_02				omuk	philipp	sel character	Ninja	cold		Ignore the cold.	3		0	Ignore the cold.		不要在意寒冷	
vo_ply_ply_	nin_	char_select_	cold_03	vo_ply_ply_nin_char_select_cold_03				omuk	philipp	sel character	Ninja	cold		Concentrate.	1		0	Concentrate.		集中注意力	
vo_ply_ply_	nin_	char_select_	cold_04	vo_ply_ply_nin_char_select_cold_04				omuk	philipp	sel character	Ninja	cold		I'd kill for hot sake.	5		0	I'd kill for hot sake.		有杯热酒就好了	
vo_ply_ply_	nin_	char_select_	cold_05	vo_ply_ply_nin_char_select_cold_05				omuk	philipp	sel character	Ninja	cold	rare	Toes are getting numb.	4		0	Toes are getting numb.		脚趾发麻了	
vo_ply_ply_	nin_	char_select_	night_00	vo_ply_ply_nin_char_select_night_00				omuk	philipp	sel character	Ninja	stealthy		I work best at night.	5		0	Heh. I work best at night.	YES	晚上最适合工作	
vo_ply_ply_	nin_	char_select_	night_01	vo_ply_ply_nin_char_select_night_01				omuk	philipp	sel character	Ninja	stealthy		This is how like it.	5		0	This is how I like it.	YES	就是这种感觉	
vo_ply_ply_	nin_	char_select_	night_02	vo_ply_ply_nin_char_select_night_02				omuk	philipp	sel character	Ninja	stealthy		Now you see me ...	5		0	Now you see me…	YES	看得到我么…	
vo_ply_ply_	nin_	char_select_	night_03	vo_ply_ply_nin_char_select_night_03				omuk	philipp	sel character	Ninja	stealthy		Low visibility. Perfect.	3		0	Low visibility. Perfect.		能见度很差，完美	
vo_ply_ply_	nin_	char_select_	night_04	vo_ply_ply_nin_char_select_night_04				omuk	philipp	sel character	Ninja	stealthy		One with the shadows.	4		0	One with the shadows.		与黑暗融为一体	
vo_ply_ply_	nin_	char_select_	night_05	vo_ply_ply_nin_char_select_night_05				omuk	philipp	sel character	Ninja	stealthy		Light's our enemy.	3		0	Light's our enemy.		光明是忍者的敌人	
vo_ply_ply_	nin_	char_select_	night_06	vo_ply_ply_nin_char_select_night_06				omuk	philipp	sel character	Ninja	stealthy		Don't get too cocky.	4		0	Don't get too cocky.		不可轻敌	
vo_ply_ply_	nin_	char_select_	war_00	vo_ply_ply_nin_char_select_war_00				omuk	philipp	sel character	Ninja	tense		We're in it now.	4		0	We're in it now.		身处战场之中	
vo_ply_ply_	nin_	char_select_	war_01	vo_ply_ply_nin_char_select_war_01				omuk	philipp	sel character	Ninja	smug		Busy place.	2		0	Busy place.		真是热闹	
vo_ply_ply_	nin_	char_select_	war_02	vo_ply_ply_nin_char_select_war_02				omuk	philipp	sel character	Ninja	smug		You keep shooting …	4		0	You keep shooting.	YES	你们射你们的	
vo_ply_ply_	nin_	char_select_	war_03	vo_ply_ply_nin_char_select_war_03				omuk	philipp	sel character	Ninja	smug		Teh … war never changes.	5		0	Hah! War never changes.	YES	哈！战争从未改变	
vo_ply_ply_	nin_	char_select_	war_04	vo_ply_ply_nin_char_select_war_04				omuk	philipp	sel character	Ninja	tense		Right in the thick of it.	6		0	Right in the thick of it.		打得正激烈	
vo_ply_ply_	nin_	char_select_	war_05	vo_ply_ply_nin_char_select_war_05				omuk	philipp	sel character	Ninja	smug		Let them fight.	3		0	Let them fight.		让他们打去吧	
vo_ply_ply_	nin_	char_select_	war_06	vo_ply_ply_nin_char_select_war_06				omuk	philipp	sel character	Ninja	tense	rare	Behind enemy lines again.	4		0	Heh. Behind enemy lines again.	YES	呵！又深入敌营了。	
vo_ply_ply_	nin_	char_select_	team_00	vo_ply_ply_nin_char_select_team_00				omuk	philipp	sel character	Ninja	encouraging		We're doing great.	3		0	We're doing great.		干得不错	
vo_ply_ply_	nin_	char_select_	team_01	vo_ply_ply_nin_char_select_team_01				omuk	philipp	sel character	Ninja	encouraging		Everyone OK?	2		0	Everyone okay?	YES	大家还好吧？	
vo_ply_ply_	nin_	char_select_	team_02	vo_ply_ply_nin_char_select_team_02				omuk	philipp	sel character	Ninja	encouraging		Let's all do our job.	5		0	Let's all do our job.		做好手头任务	
vo_ply_ply_	nin_	char_select_	team_03	vo_ply_ply_nin_char_select_team_03				omuk	philipp	sel character	Ninja	encouraging		We all have our mission.	5		0	We all have our mission.		还有任务要做	
vo_ply_ply_	nin_	char_select_	team_04	vo_ply_ply_nin_char_select_team_04				omuk	philipp	sel character	Ninja	encouraging		Anyone in trouble?	3		0	Anyone in trouble?		都还好吧？	
vo_ply_ply_	nin_	char_select_	team_05	vo_ply_ply_nin_char_select_team_05				omuk	philipp	sel character	Ninja	encouraging		Don't let them see you.	5		0	Don't let them see you.		别让他们看见	
vo_ply_ply_	nin_	char_select_	team_06	vo_ply_ply_nin_char_select_team_06				omuk	philipp	sel character	Ninja	encouraging		Let's finish this together.	4		0	Let's finish this together.		一起完成任务吧	
vo_ply_ply_	nin_	char_select_	team_07	vo_ply_ply_nin_char_select_team_07				omuk	philipp	sel character	Ninja	smug	in final mission, rare	Hope you see this, Mugen.	5		0	Hope you see this, Mugen.		无限，希望你能看到	
vo_ply_ply_	nin_	char_select_	team_08	vo_ply_ply_nin_char_select_team_08				omuk	philipp	sel character	Ninja	smug	in final mission, rare	You see, Mugen? This is all you.	7		0	You see, Mugen? This is all for you.	YES	看到了吗，无限？都是为你而做的	
vo_ply_ply_	nin_	confirm_	normal_00	vo_ply_ply_nin_confirm_normal_00				omuk	philipp	com valid	Ninja	stealthy		I'm going in.	3		0	I'm going in.		冲进去	
vo_ply_ply_	nin_	confirm_	normal_01	vo_ply_ply_nin_confirm_normal_01				omuk	philipp	com valid	Ninja	stealthy		Leave it to me.	4		0	Leave it to me.		交给我吧	
vo_ply_ply_	nin_	confirm_	normal_02	vo_ply_ply_nin_confirm_normal_02				omuk	philipp	com valid	Ninja	stealthy		They won't see me coming.	5		0	They won't see me coming.		他们看不到我	
vo_ply_ply_	nin_	confirm_	normal_03	vo_ply_ply_nin_confirm_normal_03				omuk	philipp	com valid	Ninja	stealthy		Nuki Ashi.	2		0	Nuki Ashi.		落地无声	
vo_ply_ply_	nin_	confirm_	normal_04	vo_ply_ply_nin_confirm_normal_04				omuk	philipp	com valid	Ninja	stealthy		Quiet.	1		0	Quiet.		安静	
vo_ply_ply_	nin_	confirm_	normal_05	vo_ply_ply_nin_confirm_normal_05				omuk	philipp	com valid	Ninja	stealthy		No noise.	2		0	No noise.		不要发出声音	
vo_ply_ply_	nin_	confirm_	normal_06	vo_ply_ply_nin_confirm_normal_06				omuk	philipp	com valid	Ninja	stealthy		Move like water.	3		0	Move like water.		行如流水	
vo_ply_ply_	nin_	confirm_	normal_07	vo_ply_ply_nin_confirm_normal_07				omuk	philipp	com valid	Ninja	stealthy		Stay unseen.	2		0	Stay unseen.		保持隐蔽	
vo_ply_ply_	nin_	confirm_	normal_08	vo_ply_ply_nin_confirm_normal_08				omuk	philipp	com valid	Ninja	stealthy		Careful now.	2		0	Careful now.		小心行事	
vo_ply_ply_	nin_	confirm_	normal_09	vo_ply_ply_nin_confirm_normal_09				omuk	philipp	com valid	Ninja	stealthy		No problem.	2		0	No problem.		没问题	
vo_ply_ply_	nin_	confirm_	normal_10	vo_ply_ply_nin_confirm_normal_10				omuk	philipp	com valid	Ninja	stealthy		Teh, too easy.	3		0	Haha! Too easy.	YES	小菜一碟	
vo_ply_ply_	nin_	confirm_	normal_11	vo_ply_ply_nin_confirm_normal_11				omuk	philipp	com valid	Ninja	stealthy		Done.	1		0	Done.		完事儿	
vo_ply_ply_	nin_	confirm_	normal_12	vo_ply_ply_nin_confirm_normal_12				omuk	philipp	com valid	Ninja	stealthy		Good plan.	2		0	Good plan.		好主意	
vo_ply_ply_	nin_	confirm_	normal_13	vo_ply_ply_nin_confirm_normal_13				omuk	philipp	com valid	Ninja	stealthy		Taken care of.	3		0	Taken care of.		包在我身上	
vo_ply_ply_	nin_	confirm_	normal_14	vo_ply_ply_nin_confirm_normal_14				omuk	philipp	com valid	Ninja	stealthy		Let's do it.	3		0	Let's do it.		立刻行动	
vo_ply_ply_	nin_	confirm_	normal_15	vo_ply_ply_nin_confirm_normal_15				omuk	philipp	com valid	Ninja	stealthy		Looks doable.	2		0	Looks doable.		应该可行	
vo_ply_ply_	nin_	confirm_	normal_16	vo_ply_ply_nin_confirm_normal_16				omuk	philipp	com valid	Ninja	stealthy		Might work.	2		0	Might work.		或许可	
vo_ply_ply_	nin_	confirm_	normal_17	vo_ply_ply_nin_confirm_normal_17				omuk	philipp	com valid	Ninja	stealthy		Worth a try.	3		0	Worth a try.		值得一试	
vo_ply_ply_	nin_	confirm_	tense_00	vo_ply_ply_nin_confirm_tense_00				omuk	philipp	com valid	Ninja	tense		Quick now!	2		0	Quick now!		快点！	
vo_ply_ply_	nin_	confirm_	tense_01	vo_ply_ply_nin_confirm_tense_01				omuk	philipp	com valid	Ninja	tense		Got to be fast.	4		0	Got to be fast.		得快一点	
vo_ply_ply_	nin_	confirm_	tense_02	vo_ply_ply_nin_confirm_tense_02				omuk	philipp	com valid	Ninja	tense		It'll be close.	3		0	It'll be close.		会有风险	
vo_ply_ply_	nin_	confirm_	tense_03	vo_ply_ply_nin_confirm_tense_03				omuk	philipp	com valid	Ninja	tense		Close one.	2		0	Close one.		好险	
vo_ply_ply_	nin_	confirm_	tense_04	vo_ply_ply_nin_confirm_tense_04				omuk	philipp	com valid	Ninja	tense		Time for action.	3		0	Time for action.		该行动了	
vo_ply_ply_	nin_	confirm_	tense_05	vo_ply_ply_nin_confirm_tense_05				omuk	philipp	com valid	Ninja	tense		Getting there.	2		0	Getting there.		很快就到	
vo_ply_ply_	nin_	confirm_	tense_06	vo_ply_ply_nin_confirm_tense_06				omuk	philipp	com valid	Ninja	tense		Moving.	1		0	Moving.		移动中	
vo_ply_ply_	nin_	confirm_	tense_07	vo_ply_ply_nin_confirm_tense_07				omuk	philipp	com valid	Ninja	tense		Fast!	1		0	Fast.	YES	快	
vo_ply_ply_	nin_	confirm_	tense_08	vo_ply_ply_nin_confirm_tense_08				omuk	philipp	com valid	Ninja	tense		Quick!	1		0	Quick!		加速！	
vo_ply_ply_	nin_	confirm_	tense_09	vo_ply_ply_nin_confirm_tense_09				omuk	philipp	com valid	Ninja	tense		Wari Ashi!	2		0	Wari Ashi!		快如疾风	
vo_ply_ply_	nin_	confirm_	tense_10	vo_ply_ply_nin_confirm_tense_10				omuk	philipp	com valid	Ninja	tense		Done.	1		0	Done.		搞定	
vo_ply_ply_	nin_	confirm_	tense_11	vo_ply_ply_nin_confirm_tense_11				omuk	philipp	com valid	Ninja	tense		Right.	1		0	Right.		是的	
vo_ply_ply_	nin_	confirm_	tense_12	vo_ply_ply_nin_confirm_tense_12				omuk	philipp	com valid	Ninja	tense		On the move.	3		0	On the move.		正在移动	
vo_ply_ply_	nin_	confirm_	tense_13	vo_ply_ply_nin_confirm_tense_13				omuk	philipp	com valid	Ninja	tense		Time to move.	3		0	Time to move.		该走了	
vo_ply_ply_	nin_	confirm_	dark_00	vo_ply_ply_nin_confirm_dark_00				omuk	philipp	com valid	Ninja	quiet anger		Uhuh …	2		0	Uh-huh…	YES	嗯…	
vo_ply_ply_	nin_	confirm_	dark_01	vo_ply_ply_nin_confirm_dark_01				omuk	philipp	com valid	Ninja	quiet anger		Right …	2		0	Right…	YES	是…	
vo_ply_ply_	nin_	confirm_	dark_02	vo_ply_ply_nin_confirm_dark_02				omuk	philipp	com valid	Ninja	quiet anger		Hrm …	2		0	Hrm.	YES	是么…	
vo_ply_ply_	nin_	confirm_	dark_03	vo_ply_ply_nin_confirm_dark_03				omuk	philipp	com valid	Ninja	quiet anger		Mhm ...	2		0	Hmm…	YES	是啊…	
vo_ply_ply_	nin_	confirm_	dark_04	vo_ply_ply_nin_confirm_dark_04				omuk	philipp	com valid	Ninja	quiet anger		Sure ...	2		0	Sure.	YES	嗯…	
vo_ply_ply_	nin_	confirm_	dark_05	vo_ply_ply_nin_confirm_dark_05				omuk	philipp	com valid	Ninja	quiet anger		Teh …	2		0	Tch.	YES	嘁	
vo_ply_ply_	nin_	confirm_	dark_06	vo_ply_ply_nin_confirm_dark_06				omuk	philipp	com valid	Ninja	quiet anger		Yeah …	2		0	Yeah…	YES	对…	
vo_ply_ply_	nin_	confirm_	dark_07	vo_ply_ply_nin_confirm_dark_07				omuk	philipp	com valid	Ninja	quiet anger		Hm …	2		0	Hm.	YES	嗯…	
vo_ply_ply_	nin_	confirm_	dark_08	vo_ply_ply_nin_confirm_dark_08				omuk	philipp	com valid	Ninja	quiet anger		Alright …	2		0	All right…	YES	好…	
vo_ply_ply_	nin_	confirm_	dark_09	vo_ply_ply_nin_confirm_dark_09				omuk	philipp	com valid	Ninja	quiet anger		Tch …	2		0	Tch…	YES	嘁…	
vo_ply_ply_	nin_	confirm_	dark_10	vo_ply_ply_nin_confirm_dark_10				omuk	philipp	com valid	Ninja	quiet anger		Going …	2		0	Going…	YES	去了…	
vo_ply_ply_	nin_	confirm_	dark_11	vo_ply_ply_nin_confirm_dark_11				omuk	philipp	com valid	Ninja	quiet anger		Eh …	2		0	Eh…	YES	咯…	
vo_ply_ply_	nin_	confirm_	cold_00	vo_ply_ply_nin_confirm_cold_00				omuk	philipp	com valid	Ninja	cold		Let's get this over with.	5		0	Let's get this over with.		快点搞定	
vo_ply_ply_	nin_	confirm_	cold_01	vo_ply_ply_nin_confirm_cold_01				omuk	philipp	com valid	Ninja	cold		Don't leave tracks!	3		0	Don't leave tracks!		别留下足迹	
vo_ply_ply_	nin_	confirm_	cold_02	vo_ply_ply_nin_confirm_cold_02				omuk	philipp	com valid	Ninja	cold		Watch your tracks …	4		0	Watch your tracks…	YES	小心足迹	
vo_ply_ply_	nin_	confirm_	cold_03	vo_ply_ply_nin_confirm_cold_03				omuk	philipp	com valid	Ninja	cold		Keep moving.	2		0	Keep moving.		保持移动	
vo_ply_ply_	nin_	confirm_	cold_04	vo_ply_ply_nin_confirm_cold_04				omuk	philipp	com valid	Ninja	cold		Keep warm.	2		0	Keep warm.		保持体温	
vo_ply_ply_	nin_	confirm_	cold_05	vo_ply_ply_nin_confirm_cold_05				omuk	philipp	com valid	Ninja	cold		Cold won't stop me.	4		0	Cold won't stop me.		寒冷也挡不住我	
vo_ply_ply_	nin_	confirm_	night_00	vo_ply_ply_nin_confirm_night_00				omuk	philipp	com valid	Ninja	stealthy		Better avoid the lights.	4		0	Better avoid the lights.		最好避开亮处	
vo_ply_ply_	nin_	confirm_	night_01	vo_ply_ply_nin_confirm_night_01				omuk	philipp	com valid	Ninja	stealthy		Like a shadow.	3		0	Like a shadow.		如阴影一般	
vo_ply_ply_	nin_	confirm_	night_02	vo_ply_ply_nin_confirm_night_02				omuk	philipp	com valid	Ninja	stealthy		Use the night.	3		0	Use the night.		利用好夜色	
vo_ply_ply_	nin_	confirm_	night_03	vo_ply_ply_nin_confirm_night_03				omuk	philipp	com valid	Ninja	stealthy		Stick to the shadows.	4		0	Stick to the shadows.		好好利用阴影	
vo_ply_ply_	nin_	confirm_	night_04	vo_ply_ply_nin_confirm_night_04				omuk	philipp	com valid	Ninja	stealthy		Like a wolf in the night.	6		0	Like a wolf in the night.		就像夜晚的独狼	
vo_ply_ply_	nin_	confirm_	night_05	vo_ply_ply_nin_confirm_night_05				omuk	philipp	com valid	Ninja	stealthy		A blade in the dark.	5		0	A blade in the dark.		黑夜中的利刃	
vo_ply_ply_	nin_	confirm_	night_06	vo_ply_ply_nin_confirm_night_06				omuk	philipp	com valid	Ninja	stealthy		My kind of work.	4		0	My kind of work.		为我量身定做的任务	
vo_ply_ply_	nin_	confirm_	war_00	vo_ply_ply_nin_confirm_war_00				omuk	philipp	com valid	Ninja	smug		Don't get shot now.	4		0	Don't get shot now.		别被枪打中	
vo_ply_ply_	nin_	confirm_	war_01	vo_ply_ply_nin_confirm_war_01				omuk	philipp	com valid	Ninja	tense		Watch for cannon fire.	4		0	Watch for cannon fire.		小心炮火	
vo_ply_ply_	nin_	confirm_	war_02	vo_ply_ply_nin_confirm_war_02				omuk	philipp	com valid	Ninja	smug		Straight into battle.	3		0	Straight into battle.		直接开战	
vo_ply_ply_	nin_	confirm_	war_03	vo_ply_ply_nin_confirm_war_03				omuk	philipp	com valid	Ninja	tense		Keep your head down.	4		0	Keep your head down.		别被发现	
vo_ply_ply_	nin_	confirm_	war_04	vo_ply_ply_nin_confirm_war_04				omuk	philipp	com valid	Ninja	smug		Just passing through.	3		0	Just passing through.		我只是路过	
vo_ply_ply_	nin_	confirm_	war_05	vo_ply_ply_nin_confirm_war_05				omuk	philipp	com valid	Ninja	tense		Better stick to cover.	4		0	Better stick to cover.		最好待在掩体里	
vo_ply_ply_	nin_	confirm_	war_06	vo_ply_ply_nin_confirm_war_06				omuk	philipp	com valid	Ninja	smug		Too easy.	2		0	Too easy.		太简单了	
vo_ply_ply_	nin_	confirm_	team_00	vo_ply_ply_nin_confirm_team_00				omuk	philipp	com valid	Ninja	confident		Watch and learn, Yuki-chan.	4		0	Watch and learn, Yuki-chan.		友希，好好看好好学	
vo_ply_ply_	nin_	confirm_	team_01	vo_ply_ply_nin_confirm_team_01				omuk	philipp	com valid	Ninja	confident		Don't worry, I have this.	5		0	Don't worry, I have this.		别担心，有我在	
vo_ply_ply_	nin_	confirm_	team_02	vo_ply_ply_nin_confirm_team_02				omuk	philipp	com valid	Ninja	confident		Watch my back, old man.	5		0	Watch my back, old man.		掩护我，老爷子	
vo_ply_ply_	nin_	confirm_	team_03	vo_ply_ply_nin_confirm_team_03				omuk	philipp	com valid	Ninja	confident		Agreed.	1		0	Agreed.		可以	
vo_ply_ply_	nin_	confirm_	team_04	vo_ply_ply_nin_confirm_team_04				omuk	philipp	com valid	Ninja	confident		Already done.	2		0	Already done.		已经搞定	
vo_ply_ply_	nin_	confirm_	team_05	vo_ply_ply_nin_confirm_team_05				omuk	philipp	com valid	Ninja	confident		Don't wait for me.	4		0	Don't wait for me.		不必等我	
vo_ply_ply_	nin_	confirm_	team_06	vo_ply_ply_nin_confirm_team_06				omuk	philipp	com valid	Ninja	confident		You know what to do.	5		0	You know what to do.		你们知道该怎么做	
vo_ply_ply_	nin_	confirm_	team_07	vo_ply_ply_nin_confirm_team_07				omuk	philipp	com valid	Ninja	confident		Be ready, everyone.	3		0	Be ready, everyone.		大家都准备好	
vo_ply_ply_	nin_	confirm_	team_08	vo_ply_ply_nin_confirm_team_08				omuk	philipp	com valid	Ninja	confident		I'll be right back.	4		0	I'll be right back.		我速去速回	
vo_ply_ply_	nin_	confirm_	team_09	vo_ply_ply_nin_confirm_team_09				omuk	philipp	com valid	Ninja	confident	rare	Aiko-san, I got this.	4		0	Aiko-san, I got this.		爱子小姐，交给我吧	
vo_ply_ply_	nin_	refuse_	normal_00	vo_ply_ply_nin_refuse_normal_00				omuk	philipp	com invalid	Ninja	stealthy		Can't do that.	3		0	Can't do that.		做不到	
vo_ply_ply_	nin_	refuse_	normal_01	vo_ply_ply_nin_refuse_normal_01				omuk	philipp	com invalid	Ninja	stealthy		No.	1		0	No.		不	
vo_ply_ply_	nin_	refuse_	normal_02	vo_ply_ply_nin_refuse_normal_02				omuk	philipp	com invalid	Ninja	stealthy		Don't see how.	3		0	Don't see how.		毫无头绪	
vo_ply_ply_	nin_	refuse_	normal_03	vo_ply_ply_nin_refuse_normal_03				omuk	philipp	com invalid	Ninja	stealthy		Teh, bad idea.	3		0	Tch, bad idea.	YES	这样不行	
vo_ply_ply_	nin_	refuse_	normal_04	vo_ply_ply_nin_refuse_normal_04				omuk	philipp	com invalid	Ninja	stealthy		No chance.	2		0	No chance.		不可能	
vo_ply_ply_	nin_	refuse_	tense_00	vo_ply_ply_nin_refuse_tense_00				omuk	philipp	com invalid	Ninja	tense		Can't do that.	3		0	Can't do that.		办不到	
vo_ply_ply_	nin_	refuse_	tense_01	vo_ply_ply_nin_refuse_tense_01				omuk	philipp	com invalid	Ninja	tense		No.	1		0	No.		不	
vo_ply_ply_	nin_	refuse_	tense_02	vo_ply_ply_nin_refuse_tense_02				omuk	philipp	com invalid	Ninja	tense		No chance.	2		0	No chance.		不可能	
vo_ply_ply_	nin_	refuse_	tense_03	vo_ply_ply_nin_refuse_tense_03				omuk	philipp	com invalid	Ninja	tense		Bad idea.	2		0	Bad idea.		不行	
vo_ply_ply_	nin_	refuse_	tense_04	vo_ply_ply_nin_refuse_tense_04				omuk	philipp	com invalid	Ninja	tense		I can't.	2		0	I can't.		办不到	
vo_ply_ply_	nin_	refuse_	dark_00	vo_ply_ply_nin_refuse_dark_00				omuk	philipp	com invalid	Ninja	quiet anger		No …	2		0	No…	YES	不…	
vo_ply_ply_	nin_	refuse_	dark_01	vo_ply_ply_nin_refuse_dark_01				omuk	philipp	com invalid	Ninja	quiet anger		I can't …	3		0	I can't…	YES	做不到…	
