2,3,11														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE		
vo_eny_eny_	enemy_00_	detect_footsteps_04	vo_eny_eny_enemy_00_detect_footsteps_04	omuk	hambo	Enemy	suspicious	sees player footprints	Is someone sneaking around?	4	有人潜伏在附近吗？	1		
vo_eny_eny_	enemy_00_	detect_lightsource_00	vo_eny_eny_enemy_00_detect_lightsource_00	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	The light went out …	5	灯灭了……	1		
vo_eny_eny_	enemy_00_	detect_lightsource_01	vo_eny_eny_enemy_00_detect_lightsource_01	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Wind killed the flame.	4	风把火吹灭了	1		
vo_eny_eny_	enemy_00_	detect_lightsource_02	vo_eny_eny_enemy_00_detect_lightsource_02	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	That light should be burning.	5	灯必须点亮	1		
vo_eny_eny_	enemy_00_	detect_lightsource_03	vo_eny_eny_enemy_00_detect_lightsource_03	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	Someone was careless with the lamp.	6	是谁没看好火	1		
vo_eny_eny_	enemy_00_	detect_lightsource_04	vo_eny_eny_enemy_00_detect_lightsource_04	omuk	hambo	Enemy	slightly irritated	sees extiguished lamp	The fire died …	4	火灭了……	1		
vo_eny_eny_	enemy_00_	detect_player_00	vo_eny_eny_enemy_00_detect_player_00	omuk	hambo	Enemy	agressive	sees a player character	Don't move!	2	别动!	1		
vo_eny_eny_	enemy_00_	detect_player_01	vo_eny_eny_enemy_00_detect_player_01	omuk	hambo	Enemy	agressive	sees a player character	Stop!	1	停下！	1		
vo_eny_eny_	enemy_00_	detect_player_02	vo_eny_eny_enemy_00_detect_player_02	omuk	hambo	Enemy	agressive	sees a player character	Halt!	1	站住！	1		
vo_eny_eny_	enemy_00_	detect_player_03	vo_eny_eny_enemy_00_detect_player_03	omuk	hambo	Enemy	agressive	sees a player character	I see you!	3	我看到你了！	1		
vo_eny_eny_	enemy_00_	detect_player_04	vo_eny_eny_enemy_00_detect_player_04	omuk	hambo	Enemy	agressive	sees a player character	You there!	2	那边的!	1		
vo_eny_eny_	enemy_00_	detect_player_05	vo_eny_eny_enemy_00_detect_player_05	omuk	hambo	Enemy	agressive	sees a player character	Stop right there!	3	站住别动！	1		
vo_eny_eny_	enemy_00_	detect_player_06	vo_eny_eny_enemy_00_detect_player_06	omuk	hambo	Enemy	agressive	sees a player character	Intruder!	1	有入侵者！	1		
vo_eny_eny_	enemy_00_	detect_player_07	vo_eny_eny_enemy_00_detect_player_07	omuk	hambo	Enemy	agressive	sees a player character	Die, scum!	2	死吧，渣滓！	1		
vo_eny_eny_	enemy_00_	detect_player_08	vo_eny_eny_enemy_00_detect_player_08	omuk	hambo	Enemy	agressive	sees a player character	I've got you!	3	我找到你了！	1		
vo_eny_eny_	enemy_00_	detect_player_09	vo_eny_eny_enemy_00_detect_player_09	omuk	hambo	Enemy	agressive	sees a player character	Hey you!	2	喂，你!	1		
vo_eny_eny_	enemy_00_	detect_player_10	vo_eny_eny_enemy_00_detect_player_10	omuk	hambo	Enemy	agressive	sees a player character	Death to the attacker!	4	干掉入侵者！	1		
vo_eny_eny_	enemy_00_	detect_player_11	vo_eny_eny_enemy_00_detect_player_11	omuk	hambo	Enemy	agressive	sees a player character	Kill the assailant!	3	干掉刺客！	1		
vo_eny_eny_	enemy_00_	detect_player_12	vo_eny_eny_enemy_00_detect_player_12	omuk	hambo	Enemy	agressive	sees a player character	Shogunate men!	2	将军的走狗！	1		
vo_eny_eny_	enemy_00_	detect_player_13	vo_eny_eny_enemy_00_detect_player_13	omuk	hambo	Enemy	agressive	sees a player character	It's them!	2	是他们!	1		
vo_eny_eny_	enemy_00_	detect_player_14	vo_eny_eny_enemy_00_detect_player_14	omuk	hambo	Enemy	agressive	sees a player character	You shouldn't be here!	4	你不该在这儿出现!	1		
vo_eny_eny_	enemy_00_	detect_player_15	vo_eny_eny_enemy_00_detect_player_15	omuk	hambo	Enemy	agressive	sees a player character	I will take care of you!	6	让我来教训你!	1		
vo_eny_eny_	enemy_00_	detect_player_16	vo_eny_eny_enemy_00_detect_player_16	omuk	hambo	Enemy	agressive	sees a player character	Don't try to run!	4	别想跑!	1		
vo_eny_eny_	enemy_00_	detect_player_17	vo_eny_eny_enemy_00_detect_player_17	omuk	hambo	Enemy	agressive	sees a player character	You won't escape!	3	你逃不掉的!	1		
vo_eny_eny_	enemy_00_	detect_player_proximity_00	vo_eny_eny_enemy_00_detect_player_proximity_00	omuk	hambo	Enemy	suspicious	senses a nearby player character	Something's wrong …	3	不对劲…	1		
vo_eny_eny_	enemy_00_	detect_player_proximity_01	vo_eny_eny_enemy_00_detect_player_proximity_01	omuk	hambo	Enemy	suspicious	senses a nearby player character	Strange … it feels like …	6	奇怪…感觉好像…	1		
vo_eny_eny_	enemy_00_	detect_player_proximity_02	vo_eny_eny_enemy_00_detect_player_proximity_02	omuk	hambo	Enemy	suspicious	senses a nearby player character	Wait … is someone …	5	等等…好像有人…	1		
vo_eny_eny_	enemy_00_	detect_player_proximity_03	vo_eny_eny_enemy_00_detect_player_proximity_03	omuk	hambo	Enemy	suspicious	senses a nearby player character	There's someone there …	4	感觉…好像有人…	1		
vo_eny_eny_	enemy_00_	detect_sake_00	vo_eny_eny_enemy_00_detect_sake_00	omuk	hambo	Enemy	I want that	wants to pick up the sake bottle	Hm ... shame to leave that lying around.	8	居然在地上没人要，太浪费了	1		
vo_eny_eny_	enemy_00_	detect_sake_01	vo_eny_eny_enemy_00_detect_sake_01	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Oh ... wouldn't mind a cup of sake.	8	来杯清酒也不错	1		
vo_eny_eny_	enemy_00_	detect_sake_02	vo_eny_eny_enemy_00_detect_sake_02	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Sake, huh? Could use a sip.	6	清酒？可以小酌一杯	1		
vo_eny_eny_	enemy_00_	detect_sake_03	vo_eny_eny_enemy_00_detect_sake_03	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	Oooh, sake!	2	哇，清酒！	1		
vo_eny_eny_	enemy_00_	detect_sake_04	vo_eny_eny_enemy_00_detect_sake_04	omuk	hambo	Enemy	eager	wants to pick up the sake bottle	A nice bottle of sake.	5	是上等清酒	1		
vo_eny_eny_	enemy_00_	detect_tanuki_00	vo_eny_eny_enemy_00_detect_tanuki_00	omuk	hambo	Enemy	surprised	sees the tanuki	Oh? It's a tanuki!	4	哦？是只狸猫！	1		
vo_eny_eny_	enemy_00_	detect_tanuki_01	vo_eny_eny_enemy_00_detect_tanuki_01	omuk	hambo	Enemy	Intrigued	sees the tanuki	Curious creature.	2	有趣的动物	1		
vo_eny_eny_	enemy_00_	detect_tanuki_02	vo_eny_eny_enemy_00_detect_tanuki_02	omuk	hambo	Enemy	amused	sees the tanuki	What are you doing here?	5	你在这儿干什么呀？	1		
vo_eny_eny_	enemy_00_	detect_tanuki_03	vo_eny_eny_enemy_00_detect_tanuki_03	omuk	hambo	Enemy	friendly	sees the tanuki	A tanuki? You hungry?	4	是狸猫！你饿不饿？	1		
vo_eny_eny_	enemy_00_	detect_tanuki_04	vo_eny_eny_enemy_00_detect_tanuki_04	omuk	hambo	Enemy	annoyed	sees the tanuki	Hey! Why so loud?	4	喂！叫这么大声干嘛?	1		
vo_eny_eny_	enemy_00_	detect_tanuki_05	vo_eny_eny_enemy_00_detect_tanuki_05	omuk	hambo	Enemy	annoyed	sees the tanuki	Ha, a tanuki!	3	什么啊，原来是狸猫！	1		
vo_eny_eny_	enemy_00_	detect_unconscious_female_01	vo_eny_eny_enemy_00_detect_unconscious_female_01	omuk		Enemy	concerned	sees unconcious person	She's unconscious.	2	她晕过去了	1		
vo_eny_eny_	enemy_00_	detect_unconscious_female_02	vo_eny_eny_enemy_00_detect_unconscious_female_02	omuk		Enemy	concerned	sees unconcious person	She's been hit!	3	她受了重击	1		
vo_eny_eny_	enemy_00_	detect_unconscious_female_03	vo_eny_eny_enemy_00_detect_unconscious_female_03	omuk		Enemy	concerned	sees unconcious person	She's been attacked.	3	她被袭击了	1		
vo_eny_eny_	enemy_00_	detect_unconscious_male_00	vo_eny_eny_enemy_00_detect_unconscious_male_00	omuk		Enemy	concerned	sees unconcious person	He's unconscious.	2	他晕过去了	1		
vo_eny_eny_	enemy_00_	detect_unconscious_male_01	vo_eny_eny_enemy_00_detect_unconscious_male_01	omuk		Enemy	concerned	sees unconcious person	He's been hit!	3	他受了重击	1		
vo_eny_eny_	enemy_00_	detect_unconscious_male_02	vo_eny_eny_enemy_00_detect_unconscious_male_02	omuk		Enemy	concerned	sees unconcious person	He's been attacked.	3	他被袭击了	1		
vo_eny_eny_	enemy_00_	detect_unconscious_neutral_01	vo_eny_eny_enemy_00_detect_unconscious_neutral_01	omuk	hambo	Enemy	concerned	sees unconcious person	What happened?	2	发生了什么？	1		
vo_eny_eny_	enemy_00_	detect_unconscious_neutral_02	vo_eny_eny_enemy_00_detect_unconscious_neutral_02	omuk	hambo	Enemy	concerned	sees unconcious person	Hey! What's wrong with you?	5	喂！你怎么了？	1		
vo_eny_eny_	enemy_00_	detect_unconscious_neutral_03	vo_eny_eny_enemy_00_detect_unconscious_neutral_03	omuk	hambo	Enemy	concerned	sees unconcious person	Are you sleeping?	3	你在睡觉吗?	1		
vo_eny_eny_	enemy_00_	drink_sake_00	vo_eny_eny_enemy_00_drink_sake_00	omuk		Enemy		(sound) drink sake		0		0		
vo_eny_eny_	enemy_00_	drop_object_00	vo_eny_eny_enemy_00_drop_object_00	omuk		Enemy		(sound) lay down heavy object		0		0		
vo_eny_eny_	enemy_00_	friend_missing_female_00	vo_eny_eny_enemy_00_friend_missing_female_00	omuk		Enemy	concerned	his partner is missing	She left her post.	4	她擅离岗位	1		
vo_eny_eny_	enemy_00_	friend_missing_female_01	vo_eny_eny_enemy_00_friend_missing_female_01	omuk		Enemy	concerned	his partner is missing	Where is she?	3	她去哪了?	1		
vo_eny_eny_	enemy_00_	friend_missing_female_02	vo_eny_eny_enemy_00_friend_missing_female_02	omuk		Enemy	concerned	his partner is missing	What's keeping her?	3	她干什么去了？	1		
vo_eny_eny_	enemy_00_	friend_missing_female_03	vo_eny_eny_enemy_00_friend_missing_female_03	omuk		Enemy	concerned	his partner is missing	She's been gone too long.	5	她怎么这么久不回来	1		
vo_eny_eny_	enemy_00_	friend_missing_female_04	vo_eny_eny_enemy_00_friend_missing_female_04	omuk		Enemy	concerned	his partner is missing	She's missing!	2	她不见了!	1		
vo_eny_eny_	enemy_00_	friend_missing_male_00	vo_eny_eny_enemy_00_friend_missing_male_00	omuk	hambo	Enemy	concerned	his partner is missing	He left his post.	4	他擅离岗位	1		
vo_eny_eny_	enemy_00_	friend_missing_male_01	vo_eny_eny_enemy_00_friend_missing_male_01	omuk	hambo	Enemy	concerned	his partner is missing	Where is he?	3	他去哪了?	1		
vo_eny_eny_	enemy_00_	friend_missing_male_02	vo_eny_eny_enemy_00_friend_missing_male_02	omuk	hambo	Enemy	concerned	his partner is missing	What's keeping him so long?	5	他干什么去了？	1		
vo_eny_eny_	enemy_00_	friend_missing_male_03	vo_eny_eny_enemy_00_friend_missing_male_03	omuk	hambo	Enemy	concerned	his partner is missing	He's been gone too long.	5	他怎么这么久不回来	1		
vo_eny_eny_	enemy_00_	friend_missing_male_04	vo_eny_eny_enemy_00_friend_missing_male_04	omuk	hambo	Enemy	concerned	his partner is missing	He's missing!	2	他不见了!	1		
vo_eny_eny_	enemy_00_	friend_wakeup_00	vo_eny_eny_enemy_00_friend_wakeup_00	omuk	hambo	Enemy	urgent	wakes unconcious person	Hey! Wake up!	3	喂！醒醒！	1		
vo_eny_eny_	enemy_00_	friend_wakeup_01	vo_eny_eny_enemy_00_friend_wakeup_01	omuk	hambo	Enemy	urgent	wakes unconcious person	Get up!	2	起来!	1		
vo_eny_eny_	enemy_00_	friend_wakeup_02	vo_eny_eny_enemy_00_friend_wakeup_02	omuk	hambo	Enemy	urgent	wakes unconcious person	Are you alright?	3	你还好吗？	1		
vo_eny_eny_	enemy_00_	friend_wakeup_03	vo_eny_eny_enemy_00_friend_wakeup_03	omuk	hambo	Enemy	urgent	wakes unconcious person	What happened to you?	4	你怎么了?	1		
vo_eny_eny_	enemy_00_	friend_wakeup_04	vo_eny_eny_enemy_00_friend_wakeup_04	omuk	hambo	Enemy	urgent	wakes unconcious person	On your feet!	3	站起来!	1		
vo_eny_eny_	enemy_00_	hard_work_00	vo_eny_eny_enemy_00_hard_work_00	omuk		Enemy		(sound) pushing a cart		0		0		
vo_eny_eny_	enemy_00_	hear_noise_00	vo_eny_eny_enemy_00_hear_noise_00	omuk	hambo	Enemy	suspicious	hears strange noise	Huh?!	1	嗯?！	1		
vo_eny_eny_	enemy_00_	hear_noise_01	vo_eny_eny_enemy_00_hear_noise_01	omuk	hambo	Enemy	suspicious	hears strange noise	What was that?	3	什么声音？	1		
vo_eny_eny_	enemy_00_	hear_noise_02	vo_eny_eny_enemy_00_hear_noise_02	omuk	hambo	Enemy	suspicious	hears strange noise	I heard something …	4	我听到了什么…	1		
vo_eny_eny_	enemy_00_	hear_noise_03	vo_eny_eny_enemy_00_hear_noise_03	omuk	hambo	Enemy	suspicious	hears strange noise	Strange sound …	3	奇怪的声音……	1		
vo_eny_eny_	enemy_00_	hear_noise_04	vo_eny_eny_enemy_00_hear_noise_04	omuk	hambo	Enemy	suspicious	hears strange noise	That noise …	3	这声音…	1		
vo_eny_eny_	enemy_00_	hear_noise_directhit_00	vo_eny_eny_enemy_00_hear_noise_directhit_00	omuk		Enemy	very irritated	is hit by stone	Ow! Who dares?	3	嗷！竟敢打我,胆小鬼!	1		
vo_eny_eny_	enemy_00_	hear_noise_directhit_01	vo_eny_eny_enemy_00_hear_noise_directhit_01	omuk		Enemy	very irritated	is hit by stone	Argh … you will pay for this!	7	嗷！你会为此付出代价的！	1		
vo_eny_eny_	enemy_00_	hear_noise_directhit_02	vo_eny_eny_enemy_00_hear_noise_directhit_02	omuk		Enemy	very irritated	is hit by stone	Gah! Show yourself, now!	4	啊！快给我出来！	1		
vo_eny_eny_	enemy_00_	hear_noise_directhit_03	vo_eny_eny_enemy_00_hear_noise_directhit_03	omuk		Enemy	very irritated	is hit by stone	Ouch! Stop this!	3	痛！快住手!	1		
vo_eny_eny_	enemy_00_	hear_noise_gunshot_00	vo_eny_eny_enemy_00_hear_noise_gunshot_00	omuk		Enemy	alarmed	hears player gunshot	Why is there shooting?	4	怎么会有枪声?	1		
vo_eny_eny_	enemy_00_	hear_noise_gunshot_01	vo_eny_eny_enemy_00_hear_noise_gunshot_01	omuk		Enemy	alarmed	hears player gunshot	Gunshots! Alarm!	2	有枪声!快发警报！	1		
vo_eny_eny_	enemy_00_	hear_noise_gunshot_02	vo_eny_eny_enemy_00_hear_noise_gunshot_02	omuk		Enemy	alarmed	hears player gunshot	The enemy has firearms!	4	敌人有枪！	1		
vo_eny_eny_	enemy_00_	hear_noise_human_00	vo_eny_eny_enemy_00_hear_noise_human_00	omuk	hambo	Enemy	tense	hears human noise	Someone there?	2	有人在那儿吗?	1		
vo_eny_eny_	enemy_00_	hear_noise_human_01	vo_eny_eny_enemy_00_hear_noise_human_01	omuk	hambo	Enemy	tense	hears human noise	Who goes there?	3	谁在那儿?	1		
vo_eny_eny_	enemy_00_	hear_noise_human_02	vo_eny_eny_enemy_00_hear_noise_human_02	omuk	hambo	Enemy	tense	hears human noise	I heard that!	3	我听到了!	1		
vo_eny_eny_	enemy_00_	hear_noise_human_03	vo_eny_eny_enemy_00_hear_noise_human_03	omuk	hambo	Enemy	tense	hears human noise	Who's making noise?	3	是谁的声音？	1		
vo_eny_eny_	enemy_00_	hear_noise_human_04	vo_eny_eny_enemy_00_hear_noise_human_04	omuk	hambo	Enemy	tense	hears human noise	Who hides in the shadows?	5	是谁藏在暗处？	1		
vo_eny_eny_	enemy_00_	hear_noise_human_05	vo_eny_eny_enemy_00_hear_noise_human_05	omuk	hambo	Enemy	tense	hears human noise	Who is this?	3	是谁?	1		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_00	vo_eny_eny_enemy_00_hear_noise_toomuch_00	omuk	hambo	Enemy	irritated	hears continuous string of strange noises	Enough already!	2	够了!	1		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_01	vo_eny_eny_enemy_00_hear_noise_toomuch_01	omuk	hambo	Enemy	irritated	irritated by a continuous string of strange noises	Who is doing this?	4	是谁在作怪？	1		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_02	vo_eny_eny_enemy_00_hear_noise_toomuch_02	omuk	hambo	Enemy	irritated	irritated by a continuous string of strange noises	Show yourself!	2	快出来！	1		
vo_eny_eny_	enemy_00_	hear_noise_toomuch_03	vo_eny_eny_enemy_00_hear_noise_toomuch_03	omuk	hambo	Enemy	irritated	irritated by a continuous string of strange noises	This is not funny!	4	一点也不好玩！	1		
vo_eny_eny_	enemy_00_	hum_00	vo_eny_eny_enemy_00_hum_00	omuk		Enemy		(sound) humming tune		0		0		
vo_eny_eny_	enemy_00_	investigate_accident_start_00	vo_eny_eny_enemy_00_investigate_accident_start_00	omuk	hambo	Enemy	shocked	sees accident (like guard crushed by falling debris)	What happened?	2	发生了什么？	1		
vo_eny_eny_	enemy_00_	investigate_accident_start_01	vo_eny_eny_enemy_00_investigate_accident_start_01	omuk	hambo	Enemy	shocked	sees accident (like guard crushed by falling debris)	How did this happen?	4	怎么会发生这种事？	1		
vo_eny_eny_	enemy_00_	investigate_accident_start_02	vo_eny_eny_enemy_00_investigate_accident_start_02	omuk	hambo	Enemy	shocked	sees accident (like guard crushed by falling debris)	Impossible!	1	怎么会...！	1		
vo_eny_eny_	enemy_00_	investigate_accident_start_03	vo_eny_eny_enemy_00_investigate_accident_start_03	omuk	hambo	Enemy	shocked	sees accident (like guard crushed by falling debris)	B-but … how?!	3	这……怎么会？	1		
vo_eny_eny_	enemy_00_	investigate_accident_start_04	vo_eny_eny_enemy_00_investigate_accident_start_04	omuk	hambo	Enemy	shocked	sees accident (like guard crushed by falling debris)	No! It can't be!	4	不！怎么不可能!	1		
vo_eny_eny_	enemy_00_	investigate_accident_stop_00	vo_eny_eny_enemy_00_investigate_accident_stop_00	omuk	hambo	Enemy	accepting	stops investigating accident	Such a shame ...	4	真可怜……	1		
vo_eny_eny_	enemy_00_	investigate_accident_stop_01	vo_eny_eny_enemy_00_investigate_accident_stop_01	omuk	hambo	Enemy	accepting	stops investigating accident	Karma, eh?	2	所谓，人各有命？	1		
vo_eny_eny_	enemy_00_	investigate_accident_stop_02	vo_eny_eny_enemy_00_investigate_accident_stop_02	omuk	hambo	Enemy	accepting	stops investigating accident	A terrible tragedy …	4	可悲的事故……	1		
